Time,Left Shoulder Angle,Right Shoulder Angle,Left Elbow Angle,Right Elbow Angle,Left Hip Angle,Right Hip Angle,Left Knee Angle,Right Knee Angle,"x, y Left Shoulder","x, y Right Shoulder","x, y Left Elbow","x, y Right Elbow","x, y Left Hip","x, y Right Hip","x, y Left Knee","x, y Right Knee","x, y Left Wrist","x, y Right Wrist","x, y Left Ankle","x, y Right Ankle","x, y Nose"
3.5046728971962615,39.2852044860381,17.865878483191082,200.796141580665,192.6442579142655,167.58717673612944,192.72316915462122,189.9204597943543,174.87525263389256,"0.511, 0.292","0.402, 0.277","0.424, 0.391","0.377, 0.404","0.503, 0.539","0.432, 0.536","0.537, 0.725","0.413, 0.709","0.330, 0.441","0.350, 0.464","0.538, 0.862","0.410, 0.869","0.441, 0.236"
3.5776869158878504,20.668655345684005,8.801173008865039,192.45274451684642,182.06109451727286,165.9048179715574,194.29135975443796,190.3680030445235,175.01788465788,"0.520, 0.290","0.399, 0.295","0.465, 0.410","0.398, 0.418","0.504, 0.539","0.433, 0.537","0.538, 0.725","0.414, 0.709","0.405, 0.492","0.393, 0.509","0.538, 0.862","0.410, 0.868","0.449, 0.253"
3.650700934579439,6.055457892283413,4.287665338675467,181.10932452332915,185.35508746428337,166.1395989124781,197.78611726464453,190.384942839169,173.960380569522,"0.525, 0.280","0.399, 0.310","0.502, 0.409","0.430, 0.434","0.507, 0.542","0.439, 0.545","0.539, 0.725","0.416, 0.711","0.477, 0.535","0.450, 0.565","0.538, 0.862","0.410, 0.868","0.452, 0.249"
3.7237149532710276,2.7911885517337924,8.958193456664862,183.71810919202454,179.12962388606277,173.48609969626654,202.68624205130573,184.85769894822198,174.94760035578645,"0.527, 0.265","0.400, 0.313","0.530, 0.407","0.451, 0.438","0.521, 0.515","0.452, 0.530","0.538, 0.707","0.422, 0.709","0.525, 0.541","0.496, 0.542","0.538, 0.863","0.410, 0.868","0.455, 0.247"
3.7967289719626165,8.494007167292136,17.226695292586484,177.3050723928311,167.9604507020041,177.05594581618124,202.9662476566728,183.035780936792,176.81827056840893,"0.521, 0.246","0.407, 0.313","0.547, 0.407","0.474, 0.427","0.525, 0.515","0.458, 0.529","0.537, 0.705","0.428, 0.708","0.565, 0.491","0.547, 0.505","0.539, 0.863","0.410, 0.867","0.461, 0.245"
3.8697429906542054,13.958398032945711,25.906235462034257,177.9581901054741,162.23725603872774,177.13143873550175,199.43203018519148,183.27629127461412,178.97266814830252,"0.515, 0.233","0.422, 0.314","0.551, 0.361","0.498, 0.418","0.523, 0.520","0.461, 0.530","0.537, 0.706","0.432, 0.710","0.582, 0.461","0.573, 0.473","0.539, 0.863","0.410, 0.866","0.469, 0.244"
3.942757009345794,16.297522453921783,31.696868318254662,175.47608209304826,166.8792635834174,176.86778383253915,194.63300099543528,183.55933374488205,184.66180972530242,"0.512, 0.233","0.438, 0.319","0.548, 0.343","0.514, 0.413","0.521, 0.522","0.465, 0.532","0.536, 0.704","0.441, 0.716","0.591, 0.447","0.588, 0.470","0.540, 0.862","0.409, 0.866","0.484, 0.243"
4.015771028037383,18.57561983160599,42.41937618753456,162.73893957546377,165.35850508772418,176.99583412601717,191.31207635332518,183.55904856838941,191.32827966476452,"0.511, 0.240","0.454, 0.320","0.549, 0.341","0.547, 0.405","0.520, 0.522","0.473, 0.532","0.536, 0.701","0.452, 0.724","0.604, 0.413","0.613, 0.440","0.540, 0.860","0.407, 0.867","0.501, 0.228"
4.0887850467289715,21.41139435539965,46.554310189656825,150.48612656253067,139.27202616465868,178.048815781037,186.28789803594344,183.72591980793348,199.32015784346189,"0.504, 0.244","0.469, 0.320","0.547, 0.338","0.556, 0.395","0.520, 0.522","0.478, 0.533","0.536, 0.700","0.466, 0.723","0.606, 0.381","0.620, 0.396","0.540, 0.860","0.406, 0.862","0.509, 0.228"
4.161799065420561,24.45748089681929,54.24600525338251,130.8807258529107,121.73696036834167,180.01353284513192,181.75385170284457,183.76067768448482,207.02121124463577,"0.494, 0.245","0.485, 0.318","0.543, 0.332","0.569, 0.379","0.519, 0.522","0.485, 0.534","0.536, 0.701","0.479, 0.722","0.602, 0.343","0.627, 0.355","0.540, 0.860","0.406, 0.857","0.522, 0.220"
4.234813084112149,47.396122083333644,62.658453528484834,74.07961347049292,109.74865463767001,181.96011961406253,177.5427905289259,183.9237738144074,211.31715996113817,"0.483, 0.245","0.499, 0.315","0.519, 0.270","0.577, 0.361","0.519, 0.523","0.488, 0.534","0.536, 0.702","0.487, 0.723","0.530, 0.240","0.622, 0.323","0.540, 0.861","0.405, 0.855","0.533, 0.210"
4.307827102803738,76.66535597493707,66.98220854101578,106.78028625386455,104.7478370386082,181.23175792152364,178.6459659102115,184.0240730739638,213.33642988455028,"0.485, 0.241","0.502, 0.294","0.527, 0.246","0.590, 0.335","0.518, 0.523","0.494, 0.533","0.536, 0.702","0.491, 0.723","0.538, 0.220","0.611, 0.310","0.540, 0.861","0.404, 0.853","0.541, 0.197"
